lga,region_group,median_weekly_rent,median_sale_price,median_household_income,year,annual_rent,price_to_income_ratio,rent_to_income_ratio,in_rental_stress,severely_unaffordable
Bayside,Greater Sydney,895.0,909000.0,101868,2026,46540.0,8.92,0.457,True,True
Blacktown,Greater Sydney,660.0,1120000.0,109564,2026,34320.0,10.22,0.313,True,True
Blue Mountains,Greater Sydney,630.0,1050000.0,91312,2026,32760.0,11.5,0.359,True,True
Burwood,Greater Sydney,820.0,1050000.0,97084,2026,42640.0,10.82,0.439,True,True
Camden,Greater Sydney,760.0,1165000.0,122356,2026,39520.0,9.52,0.323,True,True
Campbelltown,Greater Sydney,600.0,970000.0,88400,2026,31200.0,10.97,0.353,True,True
Canada Bay,Greater Sydney,880.0,1450000.0,123292,2026,45760.0,11.76,0.371,True,True
Canterbury-Bankstown,Greater Sydney,650.0,1300000.0,80912,2026,33800.0,16.07,0.418,True,True
Central Coast,Greater Sydney,650.0,980000.0,78364,2026,33800.0,12.51,0.431,True,True
Cumberland,Greater Sydney,650.0,795000.0,87256,2026,33800.0,9.11,0.387,True,True
Fairfield,Greater Sydney,600.0,1260000.0,72280,2026,31200.0,17.43,0.432,True,True
Georges River,Greater Sydney,730.0,1115000.0,103532,2026,37960.0,10.77,0.367,True,True
Hawkesbury,Greater Sydney,660.0,1110000.0,102960,2026,34320.0,10.78,0.333,True,True
Hornsby,Greater Sydney,730.0,1725000.0,125684,2026,37960.0,13.72,0.302,True,True
Hunters Hill,Greater Sydney,850.0,2220000.0,155896,2026,44200.0,14.24,0.284,False,True
Inner West,Greater Sydney,750.0,1685000.0,121680,2026,39000.0,13.85,0.321,True,True
Ku-Ring-Gai,Greater Sydney,940.0,2443000.0,157976,2026,48880.0,15.46,0.309,True,True
Lane Cove,Greater Sydney,850.0,1231000.0,145652,2026,44200.0,8.45,0.303,True,True
Liverpool,Greater Sydney,670.0,1069000.0,94588,2026,34840.0,11.3,0.368,True,True
Mosman,Greater Sydney,850.0,1655000.0,150384,2026,44200.0,11.01,0.294,False,True
North Sydney,Greater Sydney,850.0,1418000.0,131248,2026,44200.0,10.8,0.337,True,True
Northern Beaches,Greater Sydney,920.0,2171000.0,134784,2026,47840.0,16.11,0.355,True,True
Parramatta,Greater Sydney,725.0,810000.0,106652,2026,37700.0,7.59,0.353,True,True
Penrith,Greater Sydney,620.0,1070000.0,98956,2026,32240.0,10.81,0.326,True,True
Randwick,Greater Sydney,899.0,1700000.0,119860,2026,46748.0,14.18,0.39,True,True
Ryde,Greater Sydney,780.0,964000.0,109096,2026,40560.0,8.84,0.372,True,True
Strathfield,Greater Sydney,720.0,750000.0,109460,2026,37440.0,6.85,0.342,True,True
Sutherland Shire,Greater Sydney,790.0,1550000.0,118976,2026,41080.0,13.03,0.345,True,True
Sydney,Greater Sydney,894.0,1050000.0,115024,2026,46488.0,9.13,0.404,True,True
The Hills Shire,Greater Sydney,825.0,1750000.0,147212,2026,42900.0,11.89,0.291,False,True
Waverley,Greater Sydney,1100.0,1800000.0,148408,2026,57200.0,12.13,0.385,True,True
Willoughby,Greater Sydney,850.0,2089000.0,132912,2026,44200.0,15.72,0.333,True,True
Wollondilly,Greater Sydney,650.0,1025000.0,111852,2026,33800.0,9.16,0.302,True,True
Woollahra,Greater Sydney,1050.0,3125000.0,165984,2026,54600.0,18.83,0.329,True,True
Cessnock,Regional NSW,580.0,750000.0,77636,2026,30160.0,9.66,0.388,True,True
Kiama,Regional NSW,750.0,1430000.0,95368,2026,39000.0,14.99,0.409,True,True
Lake Macquarie,Regional NSW,670.0,940000.0,84396,2026,34840.0,11.14,0.413,True,True
Maitland,Regional NSW,625.0,810000.0,91832,2026,32500.0,8.82,0.354,True,True
Newcastle,Regional NSW,650.0,995000.0,91520,2026,33800.0,10.87,0.369,True,True
Port Stephens,Regional NSW,630.0,875000.0,71344,2026,32760.0,12.26,0.459,True,True
