year,facility_key,service_name,provider_name,service_suburb,provider_type,state,size,staffing_stars,rn_minutes_target,rn_minutes_actual,total_care_minutes_target,total_care_minutes_actual,quality_measures_stars,pct_pressure_injuries,pct_restrictive_practices,pct_unplanned_weight_loss,pct_falls,pct_falls_major_injury,pct_polypharmacy,pct_antipsychotic,rn_minutes_gap,total_care_minutes_gap,met_rn_target,met_total_care_target
2024,501 Respite & Care Services | Nightbreeze Pty Ltd,501 Respite & Care Services,Nightbreeze Pty Ltd,BIGGERA WATERS,Private for Profit,QLD,Small,1.0,39.0,26.0,186.0,156.0,2.0,0.0,31.0,14.0,16.0,2.0,56.0,15.0,-13.0,-30.0,False,False
2024,70 Lowe Street | East Grampians Health Service,70 Lowe Street,East Grampians Health Service,ARARAT,Government,VIC,Small,3.0,39.0,44.0,207.0,211.0,3.0,0.0,7.0,7.0,38.0,2.0,75.0,13.0,5.0,4.0,True,True
2024,A H Orr Lodge | Ashfield Baptist Homes Ltd,A H Orr Lodge,Ashfield Baptist Homes Ltd,ASHFIELD,Not for Profit,NSW,Small,3.0,40.0,40.0,207.0,205.0,5.0,0.0,17.0,5.0,26.0,2.0,30.0,0.0,0.0,-2.0,True,False
2024,Abberfield Aged Care Facility | Sandra Pty Ltd,Abberfield Aged Care Facility,Sandra Pty Ltd,SANDRINGHAM,Private for Profit,VIC,Large,2.0,40.0,38.0,199.0,201.0,3.0,1.0,34.0,10.0,46.0,1.0,27.0,1.0,-2.0,2.0,False,True
2024,Abbey House Aged Care | Thompson Health Care Pty Ltd,Abbey House Aged Care,Thompson Health Care Pty Ltd,MITTAGONG,Private for Profit,NSW,Large,3.0,41.0,44.0,209.0,210.0,3.0,1.0,24.0,6.0,38.0,2.0,56.0,15.0,3.0,1.0,True,True
2024,Abel Tasman Village | The Abel Tasman Village Association Ltd,Abel Tasman Village,The Abel Tasman Village Association Ltd,CHESTER HILL,Not for Profit,NSW,Medium,3.0,41.0,41.0,214.0,213.0,4.0,0.0,3.0,19.0,1.0,1.0,46.0,0.0,0.0,-1.0,True,False
2024,Aberlea Inc | Aberlea Inc,Aberlea Inc,Aberlea Inc,MORTLAKE,Not for Profit,VIC,Small,4.0,38.0,41.0,182.0,212.0,3.0,0.0,18.0,3.0,33.0,2.0,50.0,29.0,3.0,30.0,True,True
2024,Abernethy Nursing Home | Northern Coalfields Community Care Association Ltd,Abernethy Nursing Home,Northern Coalfields Community Care Association Ltd,CESSNOCK,Not for Profit,NSW,Small,3.0,43.0,44.0,232.0,245.0,3.0,1.0,32.0,5.0,48.0,0.0,54.0,22.0,1.0,13.0,True,True
2024,Acacia Living Group Meadow Springs Aged Care Facility | RSL Care RDNS Limited,Acacia Living Group Meadow Springs Aged Care Facility,RSL Care RDNS Limited,MEADOW SPRINGS,Not for Profit,WA,Medium,,39.0,38.0,193.0,231.0,,0.0,44.0,19.0,32.0,0.0,55.0,12.0,-1.0,38.0,False,True
2024,Acacia Living Group Menora Gardens Aged Care Facility | RSL Care RDNS Limited,Acacia Living Group Menora Gardens Aged Care Facility,RSL Care RDNS Limited,MENORA,Not for Profit,WA,Large,,39.0,37.0,203.0,234.0,,1.0,27.0,7.0,34.0,4.0,26.0,7.0,-2.0,31.0,False,True
