facility_key,service_name,state,provider_type,size,overall_stars,outcome_composite,predicted_outcome,residual,rating_classification,is_statistical_outlier,quality_measures_stars,compliance_stars,persistent_food_failure,high_compliance_dignity_gap,adequately_staffed_poor_outcomes,understaffed_good_outcomes,five_star_low_qm,is_hidden_champion
Dellacourt | Lutheran Aged Care Albury,Dellacourt,NSW,Not for Profit,Large,3.0,-0.3090630209206344,-0.1719882124381784,-0.137074808482456,Aligned,False,3.0,5.0,False,False,False,False,False,False
BaptistCare Maranoa Centre - Alstonville | BaptistCare,BaptistCare Maranoa Centre - Alstonville,NSW,Not for Profit,Medium,3.0,0.28744110347643265,-0.1719882124381784,0.45942931591461106,Aligned,False,3.0,5.0,False,False,False,False,False,True
Uniting Autumn Lodge Butler Street | The Uniting Church in Australia Property Trust (NSW),Uniting Autumn Lodge Butler Street,NSW,Not for Profit,Medium,4.0,0.24398235914713876,0.0435760823187199,0.20040627682841886,Aligned,False,4.0,5.0,False,False,False,False,False,False
Macquarie Lodge Aged Care Plus Centre | The Salvation Army (NSW) Property Trust,Macquarie Lodge Aged Care Plus Centre,NSW,Not for Profit,Large,3.0,-0.3487872603839976,-0.1719882124381784,-0.1767990479458192,Aligned,False,2.0,5.0,False,True,True,False,False,False
Crowley Retirement Village | The Trustees of the Roman Catholic Church for the Diocese of Lismore,Crowley Retirement Village,NSW,Not for Profit,Medium,3.0,0.4010643233699929,-0.1719882124381784,0.5730525358081713,Potentially under-rated,False,3.0,5.0,False,False,False,False,False,True
Crowley Retirement Village | The Trustees of the Roman Catholic Church for the Diocese of Lismore,Crowley Retirement Village,NSW,Not for Profit,Medium,3.0,0.4010643233699929,-0.1719882124381784,0.5730525358081713,Potentially under-rated,False,3.0,5.0,False,False,False,False,False,True
Murray Haven Hostel | Murray Haven Homes Limited,Murray Haven Hostel,NSW,Not for Profit,Small,4.0,-0.08912542204191964,0.0435760823187199,-0.13270150436063954,Aligned,False,3.0,5.0,False,False,False,False,False,False
Richardson House | Barraba and District Retirement Homes Association Incorporated,Richardson House,NSW,Not for Profit,Small,5.0,0.31088003235556777,0.2591403770756181,0.05173965527994967,Aligned,False,4.0,5.0,False,False,False,False,False,False
Weeroona Aged Care Plus Centre | The Salvation Army (NSW) Property Trust,Weeroona Aged Care Plus Centre,NSW,Not for Profit,Large,4.0,-0.24658930967696854,0.0435760823187199,-0.29016539199568847,Aligned,False,2.0,5.0,False,False,True,False,False,False
Uniting Nareen Gardens Bateau Bay | The Uniting Church in Australia Property Trust (NSW),Uniting Nareen Gardens Bateau Bay,NSW,Not for Profit,Large,4.0,0.2245991141890975,0.0435760823187199,0.1810230318703776,Aligned,False,3.0,5.0,False,False,False,False,False,False
Southern Cross Care Reynolds Court Residential Aged Care | Southern Cross Care (NSW & ACT) Limited,Southern Cross Care Reynolds Court Residential Aged Care,NSW,Not for Profit,Medium,4.0,0.06940094622305391,0.0435760823187199,0.025824863904334014,Aligned,False,4.0,5.0,False,False,False,False,False,False
Bupa Bateau Bay | Bupa Aged Care Australia Pty Ltd,Bupa Bateau Bay,NSW,Private for Profit,Medium,3.0,-0.3825848559382476,-0.1719882124381784,-0.21059664350006918,Aligned,False,2.0,5.0,False,False,False,False,False,False
