year,facility_key,service_name,provider_name,service_suburb,provider_type,state,planning_region,remoteness,size,overall_stars,residents_experience_stars,compliance_stars,staffing_stars,quality_measures_stars
2023,Mildred Symons House | Anglican Community Services,Mildred Symons House,Anglican Community Services,,Not for Profit,NSW,South East Sydney,Metropolitan,Large,3.0,3.0,4.0,1.0,3.0
2023,Bowral House Nursing Home | Thompson Health Care Pty Ltd,Bowral House Nursing Home,Thompson Health Care Pty Ltd,,Private for Profit,NSW,South West Sydney,Large rural towns,Medium,3.0,3.0,3.0,4.0,4.0
2023,Whiddon Moree NH | The Frank Whiddon Masonic Homes of New South Wales,Whiddon Moree NH,The Frank Whiddon Masonic Homes of New South Wales,,Not for Profit,NSW,New England,Medium rural towns,Small,2.0,4.0,2.0,4.0,3.0
2023,William Beech Gardens - Bushmaster | RSL LifeCare Limited,William Beech Gardens - Bushmaster,RSL LifeCare Limited,,Not for Profit,NSW,Central West,Small rural towns,Small,3.0,3.0,4.0,2.0,3.0
2023,Uniting Wesley Heights Manly | The Uniting Church in Australia Property Trust (NSW),Uniting Wesley Heights Manly,The Uniting Church in Australia Property Trust (NSW),,Not for Profit,NSW,Northern Sydney,Metropolitan,Large,4.0,4.0,5.0,1.0,5.0
2023,Scalabrini Village Nursing Home (Austral) | Scalabrini Village Ltd,Scalabrini Village Nursing Home (Austral),Scalabrini Village Ltd,,Not for Profit,NSW,South West Sydney,Metropolitan,Large,3.0,3.0,3.0,3.0,4.0
2023,Hillgrove House | Sapphire Coast Community Aged Care Ltd,Hillgrove House,Sapphire Coast Community Aged Care Ltd,,Not for Profit,NSW,Southern Highlands,Small rural towns,Medium,4.0,3.0,5.0,3.0,3.0
2023,Harbison Burradoo | Harbison Memorial Retirement Village,Harbison Burradoo,Harbison Memorial Retirement Village,,Not for Profit,NSW,South West Sydney,Large rural towns,Large,4.0,3.0,5.0,3.0,3.0
2023,Dubbo Homestead Care Community | DPG Services Pty Ltd,Dubbo Homestead Care Community,DPG Services Pty Ltd,,Private for Profit,NSW,Orana Far West,Large rural towns,Small,3.0,2.0,5.0,4.0,3.0
2023,Catholic Healthcare St Joseph Aged Care | Catholic Healthcare Limited,Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,,Not for Profit,NSW,Northern Sydney,Metropolitan,Small,4.0,3.0,5.0,2.0,5.0
2023,Shoalhaven Place Care Community | DPG Services Pty Ltd,Shoalhaven Place Care Community,DPG Services Pty Ltd,,Private for Profit,NSW,Illawarra,Large rural towns,Small,4.0,3.0,5.0,3.0,4.0
2023,IRT Woonona | Illawarra Retirement Trust,IRT Woonona,Illawarra Retirement Trust,,Not for Profit,NSW,Illawarra,Metropolitan,Large,3.0,3.0,3.0,1.0,3.0
2023,Bathurst Riverview Care Community | DPG Services Pty Ltd,Bathurst Riverview Care Community,DPG Services Pty Ltd,,Private for Profit,NSW,Central West,Large rural towns,Large,3.0,3.0,5.0,2.0,3.0
2023,Mercy Place Albury | Mercy Aged and Community Care Ltd,Mercy Place Albury,Mercy Aged and Community Care Ltd,,Not for Profit,NSW,Riverina/Murray,Regional centres,Medium,3.0,3.0,3.0,3.0,5.0
2023,Piper House | Anglican Community Services,Piper House,Anglican Community Services,,Not for Profit,NSW,Illawarra,Metropolitan,Medium,3.0,4.0,3.0,2.0,3.0
2023,Norah Head Care Community | DPG Services Pty Ltd,Norah Head Care Community,DPG Services Pty Ltd,,Private for Profit,NSW,Central Coast,Metropolitan,Small,4.0,4.0,5.0,3.0,2.0
2023,Adelene Nursing Home | Alino Living,Adelene Nursing Home,Alino Living,,Not for Profit,NSW,Central Coast,Metropolitan,Small,3.0,3.0,4.0,2.0,3.0
2023,Catholic Healthcare St Bedes Home | Catholic Healthcare Limited,Catholic Healthcare St Bedes Home,Catholic Healthcare Limited,,Not for Profit,NSW,South East Sydney,Metropolitan,Small,4.0,4.0,5.0,2.0,5.0
2023,Narrandera Homestead Care Community | DPG Services Pty Ltd,Narrandera Homestead Care Community,DPG Services Pty Ltd,,Private for Profit,NSW,Riverina/Murray,Small rural towns,Small,3.0,3.0,5.0,2.0,3.0
2023,Catholic Healthcare Lewisham Nursing Home | Catholic Healthcare Limited,Catholic Healthcare Lewisham Nursing Home,Catholic Healthcare Limited,,Not for Profit,NSW,Inner West,Metropolitan,Small,4.0,3.0,5.0,5.0,4.0
2023,Uniting Narla Belmont North | The Uniting Church in Australia Property Trust (NSW) -- Site 1,Uniting Narla Belmont North,The Uniting Church in Australia Property Trust (NSW),,Not for Profit,NSW,Hunter,Metropolitan,Small,3.0,3.0,5.0,1.0,2.0
2023,The Whiddon Group - Narrabri - Jessie Hunt | The Frank Whiddon Masonic Homes of New South Wales,The Whiddon Group - Narrabri - Jessie Hunt,The Frank Whiddon Masonic Homes of New South Wales,,Not for Profit,NSW,New England,Medium rural towns,Small,4.0,4.0,5.0,4.0,3.0
2023,Bupa Kempsey | Bupa Aged Care Australia Pty Ltd,Bupa Kempsey,Bupa Aged Care Australia Pty Ltd,,Private for Profit,NSW,Mid North Coast,Medium rural towns,Medium,4.0,4.0,5.0,2.0,3.0
2023,Uniting Nareen Gardens Bateau Bay | The Uniting Church in Australia Property Trust (NSW) -- Site 1,Uniting Nareen Gardens Bateau Bay,The Uniting Church in Australia Property Trust (NSW),,Not for Profit,NSW,Central Coast,Metropolitan,Medium,3.0,3.0,4.0,1.0,4.0
2023,Florence Price Gardens | RSL LifeCare Limited,Florence Price Gardens,RSL LifeCare Limited,,Not for Profit,NSW,Far North Coast,Large rural towns,Large,3.0,3.0,3.0,2.0,4.0
2023,McLean Care Ltd | McLean Care Ltd,McLean Care Ltd,McLean Care Ltd,,Not for Profit,NSW,New England,Medium rural towns,Large,4.0,4.0,5.0,3.0,1.0
2023,Estia Health Figtree | Estia Investments Pty Ltd,Estia Health Figtree,Estia Investments Pty Ltd,,Private for Profit,NSW,Illawarra,Metropolitan,Medium,4.0,4.0,4.0,2.0,4.0
2023,Aurrum Wyoming | Aurrum Pty Limited,Aurrum Wyoming,Aurrum Pty Limited,,Private for Profit,NSW,Central Coast,Metropolitan,Small,3.0,3.0,5.0,1.0,3.0
2023,The Whiddon Group - Grafton | The Frank Whiddon Masonic Homes of New South Wales,The Whiddon Group - Grafton,The Frank Whiddon Masonic Homes of New South Wales,,Not for Profit,NSW,Far North Coast,Large rural towns,Medium,3.0,3.0,5.0,2.0,3.0
2023,Mareeba Aged Care | MacLean Valley Nursing Home Pty Limited,Mareeba Aged Care,MacLean Valley Nursing Home Pty Limited,,Private for Profit,NSW,Far North Coast,Small rural towns,Large,3.0,3.0,5.0,1.0,4.0
2023,Uniting Tumut | The Uniting Church in Australia Property Trust (NSW),Uniting Tumut,The Uniting Church in Australia Property Trust (NSW),,Not for Profit,NSW,Riverina/Murray,Medium rural towns,Medium,3.0,2.0,4.0,3.0,1.0
